summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or_opposite,house_number,street_name,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle?,vehicle_year,meter_number,feet_from_curb,violation_hour,is_weekend,day_category
1363748063,GST4149,NY,PAS,2015-07-09,21,SDN,SMART,P,88130,67030,58730,20161008.0,79.0,79,301,346210,T301,0,0846A,K,F,27,VERNON AVE,0,408,D1,YBBYBBB,0800A,0930A,BL,0.0,2008,-,0,8,False,Weekday
1363748099,GVC2707,NY,PAS,2015-07-09,21,SDN,VOLVO,P,93230,67030,58730,20170203.0,79.0,79,301,346210,T301,0,0910A,K,F,481A,WILLOUGHBY AVE,0,408,D1,YBBYBBB,0800A,0930A,BLK,0.0,2011,-,0,9,False,Weekday
1363748105,GSG8695,NY,PAS,2015-07-09,21,SUBN,JEEP,P,93230,67030,58730,20160626.0,79.0,79,301,346210,T301,0,0913A,K,F,479,WILLOUGHBY AVE,0,408,D1,YBBYBBB,0800A,0930A,GRY,0.0,2014,-,0,9,False,Weekday
1363748117,GNE7269,NY,PAS,2015-07-09,21,SDN,NISSA,P,0,40404,40404,20160223.0,79.0,79,301,346210,T301,0,0930A,K,F,431,JEFFERSON,0,408,D1,YBBYBBB,0900A,1030A,GRY,0.0,2010,-,0,9,False,Weekday
1363748130,GYR6214,NY,OMS,2015-07-09,21,SDN,CHRYS,P,0,40404,40404,20160930.0,79.0,79,301,346210,T301,0,0938A,K,F,463,JEFFRSON AVE,0,408,D1,YBBYBBB,0900A,1038A,WHITE,0.0,2015,-,0,9,False,Weekday
1363748154,GXX9802,NY,OMS,2015-07-09,21,SUBN,FORD,P,0,40404,40404,20150930.0,79.0,79,301,346210,T301,0,0956A,K,F,291,JEFFRSON AVE,0,408,D1,YBBYBBB,0900A,1030A,GRY,0.0,2015,-,0,9,False,Weekday
1363748178,MRJ0NZ,NY,SRF,2015-07-09,46,SUBN,ROVER,P,47030,85730,85330,20160811.0,79.0,79,301,346210,T301,0,1053A,K,F,370,HANCOCK ST,0,408,D1,BBBBBBB,ALL,ALL,BLACK,0.0,2003,-,0,10,False,Weekday
1363748233,GXB4444,NY,PAS,2015-07-09,68,SDN,HONDA,P,0,0,0,20170324.0,84.0,84,301,343920,T301,0,1048A,K,,,N/S JORALEMON ST,0,408,I3,BBBBBBB,ALL,ALL,BLUE,0.0,2008,-,0,10,False,Weekday
1363748245,GGS6025,NY,PAS,2015-07-09,70,SDN,HONDA,P,81330,29830,20110,20150623.0,84.0,84,301,343920,T301,0,1149A,K,F,187,STATE ST,0,408,A1,BBBBBBB,ALL,ALL,RED,0.0,2002,-,0,11,False,Weekday
1363748257,GRG6837,NY,PAS,2015-07-09,68,SDN,ME/BE,P,29830,68930,31830,20160602.0,84.0,84,301,343920,T301,0,1200P,K,F,155,COURT ST,0,408,J3,YYYYYBB,0800A,0400P,BLK,0.0,2014,-,0,12,False,Weekday
